user_name,protected_peddle,unprotected_peddle,highest_peddle_in_hand,has_banker,has_sold_out,has_double_crossed,has_utterly_wiped_out,net_profit
DYLAN,0,0,0,1,0,0,0,0
VICKY,0,0,0,0,0,0,0,0
